id;taxa_do_dia;km_inicial;km_final;periodo;contrato_data_inicio;contrato_data_final;contrato_data_retirada;contrato_data_entrega
1;only setback;12531;29776;2024-02-05T08:53:35;2024-02-05T16:48:05;2024-02-05T16:12:16;2024-02-05T07:47:49;2024-02-05T04:02:16
2;gossip supposing aside;18216;9714;2024-02-05T13:13:02;2024-02-05T13:05:51;2024-02-05T21:08:13;2024-02-05T21:49:28;2024-02-05T21:06:31
3;although than;19240;23173;2024-02-05T22:12:15;2024-02-05T18:34:55;2024-02-05T07:59:06;2024-02-05T00:16:32;2024-02-05T15:20:14
4;fooey hmph gently;7580;17731;2024-02-05T17:21:08;2024-02-05T15:35:41;2024-02-05T11:53:27;2024-02-05T22:43:00;2024-02-05T09:12:51
5;disastrous pro boohoo;8777;1130;2024-02-05T13:52:23;2024-02-05T14:39:42;2024-02-05T05:27:46;2024-02-05T21:03:10;2024-02-05T23:06:04
6;classic bud;26483;3251;2024-02-05T23:09:01;2024-02-05T00:53:30;2024-02-05T11:07:28;2024-02-05T17:13:06;2024-02-04T23:40:13
7;across skinny acclaimed;10848;2289;2024-02-05T10:52:02;2024-02-05T07:11:56;2024-02-05T03:14:07;2024-02-05T21:45:25;2024-02-05T00:24:38
8;shakily;2435;29126;2024-02-05T13:10:27;2024-02-05T16:58:59;2024-02-05T07:30:12;2024-02-05T18:50:07;2024-02-05T19:01:05
9;oh upward;17113;18069;2024-02-05T16:51:27;2024-02-05T06:15:10;2024-02-05T22:40:00;2024-02-05T22:46:12;2024-02-05T08:38:26
10;canine till;4570;4856;2024-02-05T16:37:54;2024-02-05T22:03:17;2024-02-05T07:19:39;2024-02-05T16:30:04;2024-02-05T13:51:23
