id;placa;marca;modelo;data_aquisicao;classe;grupo;situcao
1;beyond ;sure-footed sans gee;mid nasal;2024-02-05;CARGA;SEDAN_LUXO;PREPARACAO
2;slough ;ew split;although water while;2024-02-05;LOCACAO;HATCH_MEDIO;ALUGADO
3;silentl;aw even;why reassuringly;2024-02-05;PASSEIO;SEDAN_LUXO;ALUGADO
4;brr chi;phooey pish;credential;2024-02-05;PASSEIO;HATCH_MEDIO;PREPARACAO
5;lobster;until third extremel;yet handmade molar;2024-02-05;PASSEIO;HATCH_COMPACTO;REPARO
6;perfect;willfully;besides;2024-02-05;PASSEIO;HATCH_MEDIO;MANUTENCAO
7;mop;misguided;against monstrous;2024-02-05;CARGA;SEDAN_LUXO;PRONTO
8;tensely;deify that omission;of blah plunge;2024-02-05;PASSEIO;HATCH_COMPACTO;PRONTO
9;potty;around;hard prize zowie;2024-02-05;CARGA;HATCH_COMPACTO;PREPARACAO
10;victori;choice melody beside;another eek familiar;2024-02-05;LOCACAO;HATCH_MEDIO;PRONTO
